round,seed,team,winning_count,non_winning_count,winning_freq,non_winning_freq,freq_diff,relative_advantage
Championship,14,San Diego St,0,7,0.0,0.0014583333333333334,-0.0014583333333333334,-1.0
Championship,9,Georgia Tech,0,8,0.0,0.0016666666666666668,-0.0016666666666666668,-1.0
Championship,16,Tennessee Tech,0,8,0.0,0.0016666666666666668,-0.0016666666666666668,-1.0
Championship,11,Columbia,0,8,0.0,0.0016666666666666668,-0.0016666666666666668,-1.0
Championship,14,FGCU,0,9,0.0,0.001875,-0.001875,-1.0
Championship,8,Illinois,0,9,0.0,0.001875,-0.001875,-1.0
Championship,9,Indiana,0,10,0.0,0.0020833333333333333,-0.0020833333333333333,-1.0
Championship,13,Liberty,0,10,0.0,0.0020833333333333333,-0.0020833333333333333,-1.0
Championship,5,Tennessee,0,10,0.0,0.0020833333333333333,-0.0020833333333333333,-1.0
Championship,10,Nebraska,0,10,0.0,0.0020833333333333333,-0.0020833333333333333,-1.0
Championship,10,Harvard,0,12,0.0,0.0025,-0.0025,-1.0
Championship,12,Fairfield,0,12,0.0,0.0025,-0.0025,-1.0
Championship,6,Florida St,0,12,0.0,0.0025,-0.0025,-1.0
Championship,8,Richmond,0,12,0.0,0.0025,-0.0025,-1.0
Championship,11,George Mason,0,13,0.0,0.0027083333333333334,-0.0027083333333333334,-1.0
Championship,13,Norfolk St,0,13,0.0,0.0027083333333333334,-0.0027083333333333334,-1.0
Championship,13,Montana St,0,13,0.0,0.0027083333333333334,-0.0027083333333333334,-1.0
Championship,13,Grand Canyon,0,13,0.0,0.0027083333333333334,-0.0027083333333333334,-1.0
Championship,11,Iowa State,0,13,0.0,0.0027083333333333334,-0.0027083333333333334,-1.0
Championship,8,Utah,0,14,0.0,0.002916666666666667,-0.002916666666666667,-1.0
Championship,12,Green Bay,0,14,0.0,0.002916666666666667,-0.002916666666666667,-1.0
Championship,7,Vanderbilt,0,14,0.0,0.002916666666666667,-0.002916666666666667,-1.0
Championship,7,Louisville,0,14,0.0,0.002916666666666667,-0.002916666666666667,-1.0
Championship,5,Alabama,0,15,0.0,0.003125,-0.003125,-1.0
Championship,5,Kansas St,0,16,0.0,0.0033333333333333335,-0.0033333333333333335,-1.0
Championship,7,Michigan St,0,17,0.0,0.0035416666666666665,-0.0035416666666666665,-1.0
Championship,6,Iowa,0,18,0.0,0.00375,-0.00375,-1.0
